GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-saml-metadata,io.vpv.saml.metadata.model,SingleLogoutService.SingleLogoutServiceBuilder,6,21,0,0,0,1,1,4,1,4
java-saml-metadata,io.vpv.saml.metadata.model,KeyInfo.KeyInfoBuilder,9,9,0,0,0,1,2,2,2,2
java-saml-metadata,io.vpv.saml.metadata.model,IDPSSODescriptor.IDPSSODescriptorBuilder,29,34,0,0,0,1,4,5,4,5
java-saml-metadata,io.vpv.saml.metadata.model,Transforms.TransformsBuilder,4,14,0,0,0,1,1,3,1,3
java-saml-metadata,io.vpv.saml.metadata.model,AssertionConsumerService.AssertionConsumerServiceBuilder,8,28,0,0,0,1,1,5,1,5
java-saml-metadata,io.vpv.saml.metadata.model,KeyDescriptor,4,29,0,0,0,5,1,6,1,6
java-saml-metadata,io.vpv.saml.metadata.model,IDPMetaData,24,93,0,0,0,12,6,15,6,15
java-saml-metadata,io.vpv.saml.metadata.model,IDPMetaData.IDPMetaDataBuilder,35,55,0,0,0,1,4,8,4,8
java-saml-metadata,io.vpv.saml.metadata.model,OrganizationDisplayName,0,25,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,X509Data.X509DataBuilder,4,14,0,0,0,1,1,3,1,3
java-saml-metadata,io.vpv.saml.metadata.model,Organization.OrganizationBuilder,23,13,0,0,0,1,4,2,4,2
java-saml-metadata,io.vpv.saml.metadata.model,SPMetaData,20,85,0,0,0,11,5,14,5,14
java-saml-metadata,io.vpv.saml.metadata.model,DigestMethod.DigestMethodBuilder,4,14,0,0,0,1,1,3,1,3
java-saml-metadata,io.vpv.saml.metadata.model,ClaimType,4,41,0,0,0,6,1,8,1,8
java-saml-metadata,io.vpv.saml.metadata.model,SignedInfo,0,45,0,0,0,6,0,9,0,9
java-saml-metadata,io.vpv.saml.metadata.model,SecurityTokenServiceEndpoint.SecurityTokenServiceEndpointBuilder,9,9,0,0,0,1,2,2,2,2
java-saml-metadata,io.vpv.saml.metadata.model,PassiveRequestorEndpoint,0,21,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,SPSSODescriptor,12,69,0,0,0,9,3,12,3,12
java-saml-metadata,io.vpv.saml.metadata.model,SignatureMethod.SignatureMethodBuilder,4,14,0,0,0,1,1,3,1,3
java-saml-metadata,io.vpv.saml.metadata.model,ContactPerson.ContactPersonBuilder,18,18,0,0,0,1,3,3,3,3
java-saml-metadata,io.vpv.saml.metadata.model,X509Data,0,17,0,0,0,3,0,4,0,4
java-saml-metadata,io.vpv.saml.metadata.model,SignatureMethod,0,17,0,0,0,3,0,4,0,4
java-saml-metadata,io.vpv.saml.metadata.model,Reference,4,53,0,0,0,7,1,10,1,10
java-saml-metadata,io.vpv.saml.metadata.model,Transform,0,17,0,0,0,3,0,4,0,4
java-saml-metadata,io.vpv.saml.metadata.model,Reference.ReferenceBuilder,25,20,0,0,0,1,4,3,4,3
java-saml-metadata,io.vpv.saml.metadata.model,OrganizationURL,0,25,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,EndpointReference,0,21,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,SingleLogoutService,0,25,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,SingleSignOnService,0,25,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,Signature.SignatureBuilder,23,13,0,0,0,1,4,2,4,2
java-saml-metadata,io.vpv.saml.metadata.model,Signature,0,45,0,0,0,6,0,9,0,9
java-saml-metadata,io.vpv.saml.metadata.model,ClaimType.ClaimTypeBuilder,18,18,0,0,0,1,3,3,3,3
java-saml-metadata,io.vpv.saml.metadata.model,Transform.TransformBuilder,4,14,0,0,0,1,1,3,1,3
java-saml-metadata,io.vpv.saml.metadata.model,DigestMethod,0,17,0,0,0,3,0,4,0,4
java-saml-metadata,io.vpv.saml.metadata.model,SingleSignOnService.SingleSignOnServiceBuilder,6,21,0,0,0,1,1,4,1,4
java-saml-metadata,io.vpv.saml.metadata.model,ContactPerson,4,41,0,0,0,6,1,8,1,8
java-saml-metadata,io.vpv.saml.metadata.model,CanonicalizationMethod.CanonicalizationMethodBuilder,4,14,0,0,0,1,1,3,1,3
java-saml-metadata,io.vpv.saml.metadata.model,IDPSSODescriptor,12,69,0,0,0,9,3,12,3,12
java-saml-metadata,io.vpv.saml.metadata.model,SPMetaData.SPMetaDataBuilder,33,48,0,0,0,1,4,7,4,7
java-saml-metadata,io.vpv.saml.metadata.model,KeyDescriptor.KeyDescriptorBuilder,11,16,0,0,0,1,2,3,2,3
java-saml-metadata,io.vpv.saml.metadata.model,CanonicalizationMethod,0,17,0,0,0,3,0,4,0,4
java-saml-metadata,io.vpv.saml.metadata.model,OrganizationName,0,25,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,ClaimTypesOffered.ClaimTypesOfferedBuilder,4,14,0,0,0,1,1,3,1,3
java-saml-metadata,io.vpv.saml.metadata.model,OrganizationURL.OrganizationURLBuilder,6,21,0,0,0,1,1,4,1,4
java-saml-metadata,io.vpv.saml.metadata.model,TargetScopes.TargetScopesBuilder,9,9,0,0,0,1,2,2,2,2
java-saml-metadata,io.vpv.saml.metadata.model,ApplicationServiceEndpoint,0,21,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,EndpointReference.EndpointReferenceBuilder,9,9,0,0,0,1,2,2,2,2
java-saml-metadata,io.vpv.saml.metadata.model,SPSSODescriptor.SPSSODescriptorBuilder,29,34,0,0,0,1,4,5,4,5
java-saml-metadata,io.vpv.saml.metadata.model,KeyInfo,0,21,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,OrganizationName.OrganizationNameBuilder,6,21,0,0,0,1,1,4,1,4
java-saml-metadata,io.vpv.saml.metadata.model,PassiveRequestorEndpoint.PassiveRequestorEndpointBuilder,9,9,0,0,0,1,2,2,2,2
java-saml-metadata,io.vpv.saml.metadata.model,Organization,0,45,0,0,0,6,0,9,0,9
java-saml-metadata,io.vpv.saml.metadata.model,RoleDescriptor,8,97,0,0,0,11,2,17,2,17
java-saml-metadata,io.vpv.saml.metadata.model,ClaimTypesOffered,4,20,0,0,1,3,1,4,1,4
java-saml-metadata,io.vpv.saml.metadata.model,RoleDescriptor.RoleDescriptorBuilder,48,33,0,0,0,1,7,4,7,4
java-saml-metadata,io.vpv.saml.metadata.model,AssertionConsumerService,0,33,0,0,0,5,0,6,0,6
java-saml-metadata,io.vpv.saml.metadata.model,Transforms,0,17,0,0,0,3,0,4,0,4
java-saml-metadata,io.vpv.saml.metadata.model,TargetScopes,0,21,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,SecurityTokenServiceEndpoint,0,21,0,0,0,4,0,5,0,5
java-saml-metadata,io.vpv.saml.metadata.model,ApplicationServiceEndpoint.ApplicationServiceEndpointBuilder,9,9,0,0,0,1,2,2,2,2
java-saml-metadata,io.vpv.saml.metadata.model,SignedInfo.SignedInfoBuilder,23,13,0,0,0,1,4,2,4,2
java-saml-metadata,io.vpv.saml.metadata.model,OrganizationDisplayName.OrganizationDisplayNameBuilder,6,21,0,0,0,1,1,4,1,4
java-saml-metadata,io.vpv.saml.metadata.util,XMLParser,6,73,2,8,3,20,3,7,1,4
java-saml-metadata,io.vpv.saml.metadata.service,MetaDataParserImpl,0,1230,0,109,0,326,0,101,0,33
java-saml-metadata,io.vpv.saml.metadata.service,MetaDataParser,47,94,10,14,9,18,9,12,3,6
